true\predicted,subject_0,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_12,subject_13
subject_0,330,0,0,0,0,0,0,0,0,0,0,0,0,0
subject_1,0,262,0,0,0,0,0,0,0,0,0,0,0,0
subject_2,0,0,258,0,0,0,2,0,0,0,0,0,0,4
subject_3,0,0,0,258,0,6,0,0,0,0,0,0,0,0
subject_4,0,0,0,0,262,0,0,0,0,0,0,0,2,0
subject_5,0,0,0,0,0,264,0,0,0,0,0,0,0,0
subject_6,0,0,44,0,0,0,210,0,0,0,0,0,0,10
subject_7,0,0,0,0,0,0,0,124,0,0,0,8,0,0
subject_8,0,0,0,0,0,0,0,0,132,0,0,0,0,0
subject_9,0,0,0,0,0,0,0,0,0,132,0,0,0,0
subject_10,0,0,0,0,0,0,0,0,0,0,132,0,0,0
subject_11,0,11,0,0,0,0,0,0,0,0,6,114,0,1
subject_12,0,0,0,0,0,0,0,0,0,0,0,0,128,4
subject_13,0,0,0,0,0,0,28,0,0,0,0,0,0,302
